Year;Month;Iron;Harness;Alumi
2007;1?;;;
2007;2?;;;
2007;3?;;;
2007;4?;;;
2007;5?;;;
2007;6?;30,7;300;
2007;7?;33;290;210
2007;8?;33;320;240
2007;9?;33;330;220
2007;10?;33,5;330;225
2007;11?;33,5;330;225
2007;12?;34,5;260;260
2008;1?;35;280;260
2008;2?;37;270;240
2008;3?;47,5;300;250
2008;4?;55,5;330;240
2008;5?;58;290;255
2008;6?;60;300;255
2008;7?;66;330;250
2008;8?;40;310;250
2008;9?;40,5;270;240
2008;10?;17;100;140
2008;11?;8;90;105
2008;12?;11;110;105
2009;1?;21;90;70
2009;2?;18;90;70
2009;3?;17;110;70
2009;4?;14,5;140;75
2009;5?;19;180;90
2009;6?;19;187;100
2009;7?;21,2;187;100
2009;8?;23;205;125
2009;9?;24,5;220;130
2009;10?;25;217;140
2009;11?;20,5;217;135
2009;12?;20,5;228;135
2010;1?;21;235;150
2010;2?;25,5;282;163
2010;3?;28,5;240;160
2010;4?;35;290;184
2010;5?;35;285;185
2010;6?;30,5;223;165
2010;7?;26,5;217;158
2010;8?;22,3;225;150
2010;9?;25,8;230;160
2010;10?;23,5;240;150
2010;11?;23;247;150
2010;12?;27,5;250;160
2011;1?;30,5;265;160
2011;2?;33,5;276;165
2011;3?;36,5;278;175
2011;4?;32;265;170
2011;5?;32;240;170
2011;6?;31;275;170
2011;7?;33;280;170
2011;8?;31;270;170
2011;9?;31,5;270;170
2011;10?;27;200;155
2011;11?;21,5;210;150
2011;12?;27,5;210;150
2012;1?;24;210;140
2012;2?;27;250;155
2012;3?;28;260;160
2012;4?;27,5;240;150
2012;5?;26,5;235;140
2012;6?;21;235;140
2012;7?;20,5;230;135
2012;8?;22;230;135
2012;9?;19,5;230;130
2012;10?;17;248;135
2012;11?;17,5;240;135
2012;12?;18;240;135
2013;1?;24,5;285;140
2013;2?;26;295;155
2013;3?;29;300;155
2013;4?;27;295;150
2013;5?;26;290;150
2013;6?;25;280;165
2013;7?;25,5;280;160
2013;8?;27;295;160
2013;9?;28,5;300;160
2013;10?;28,5;300;160
2013;11?;31;300;160
2013;12?;32,5;305;160
2014;1?;30,5;310;165
2014;2?;29,5;310;165
2014;3?;25,5;305;165
2014;4?;26,5;270;170
2014;5?;26,5;275;170
2014;6?;27;285;170
2014;7?;27;295;170
2014;8?;27;300;180
2014;9?;27,5;310;190
2014;10?;26;308;190
2014;11?;24,5;315;190
2014;12?;23,5;315;190
2015;1?;20;290;190
2015;2?;19,5;275;190
2015;3?;19,5;275;190
2015;4?;19,5;295;190
2015;5?;20;295;195
2015;6?;21;310;180
2015;7?;19,5;290;180
2015;8?;18,5;275;180
2015;9?;14;260;170
2015;10?;11,5;260;170
2015;11?;11;265;165
2015;12?;11,5;220;160
2016;1?;11;210;160
2016;2?;11,5;200;150
2016;3?;12;220;150
2016;4?;17;220;155
2016;5?;20,5;215;155
2016;6?;13,5;212;150
2016;7?;13;205;150
2016;8?;12,5;212;150
2016;9?;14;203;150
2016;10?;14;207;145
2016;11?;14;206;145
2016;12?;18,5;250;155
2017;1?;19,5;260;165
2017;2?;19,5;250;165
2017;3?;22;275;170
2017;4?;24;270;185
2017;5?;17,5;260;187
2017;6?;17,5;270;180
2017;7?;18;273;175
2017;8?;19,5;280;175
2017;9?;23,5;290;175
2017;10?;23,5;260;185
2017;11?;22,5;290;195
2017;12?;25,5;280;200
2018;1?;26;265;200
2018;2?;27;265;200
2018;3?;26;260;200
2018;4?;25;250;195
2018;5?;23;250;195
2018;6?;23,5;255;210
2018;7?;23,5;250;210
2018;8?;24;240;199
2018;9?;26;225;190
2018;10?;27;250;190
2018;11?;26,5;250;190
2018;12?;21,5;250;183
2019;1?;20,5;240;183
2019;2?;20,5;240;165
2019;3?;25,5;260;173
2019;4?;24;255;168
2019;5?;21,5;260;168
2019;6?;21;230;158
2019;7?;18,5;225;153
2019;8?;18,5;230;153
2019;9?;16,5;220;149
2019;10?;13,5;230;144
2019;11?;13;230;144
2019;12?;17;235;158
2020;1?;18;240;158
2020;2?;13;220;158
2020;3?;15;160;140
2020;4?;14;160;120
2020;5?;11;160;115
2020;6?;18;220;115
2020;7?;17;240;120
2020;8?;18,5;260;130
2020;9?;21,5;260;150
2020;10?;21,5;250;140
2020;11?;24,5;280;150
2020;12?;34,5;310;160
2021;1?;37,5;310;165
2021;2?;37;340;175
2021;3?;36;350;190
2021;4?;37,5;420;200
2021;5?;43,5;440;210
2021;6?;46;460;230
2021;7?;45,5;490;230
2021;8?;43;490;230
2021;9?;43,5;490;240
2021;10?;50,5;550;275
2021;11?;53;550;300
2021;12?;48,5;510;275
